Query,Expected Answer,Actual Answer,Query Match Score,Processed Time,Answer Matching Score,Results
How often I should change the password?,Password will expire after 45 days so you have to change the password before the end of the 45 days period.,Password will expire after 45 days so you have to change the password before the end of the 45 days period.,0.9527,0.0543975830078125,1.0,Pass
நான் எவ்வளவு அடிக்கடி கடவுச்சொல்லை மாற்ற வேண்டும்?," ""கடவுச்சொல் 45 நாட்களுக்குப் பிறகு காலாவதியாகிவிடும் எனவே 45 நாட்கள் முடிவதற்குள் கடவுச்சொல்லை மாற்ற வேண்டும்.""", கடவுச்சொல் 45 நாட்களுக்குப் பிறகு காலாவதியாகிவிடும் எனவே 45 நாட்கள் முடிவதற்குள் கடவுச்சொல்லை மாற்ற வேண்டும்.,1.0,0.2162790298461914,0.99,Pass
Naan evalavu edikadi kadavusolai maatra vendum,Kaṭavuccol 45 nāṭkaḷukkup piṟaku kālāvatiyākiviṭum  eṉavē 45 nāṭkaḷ muṭivataṟkuḷ kaṭavuccollai māṟṟa vēṇṭum., 2. Contak kaṇakkukaḷ maṟṟum NTB kaṇakkukaḷukku iṭaiyilāṉa parivarttaṉaikaḷ uṭaṉaṭiyāka ceyyappaṭum 3. Maṟṟa vaṅkikaḷukku paṇam aṉuppappaṭum paṇam 3 nimiṭaṅkaḷil piṉvarum vaṅkikaḷ maṟṟum niti niṟuvaṉaṅkaḷiṉ paṭṭiyalil varavu vaikkappaṭum ilaṅkai makkaḷ vaṅki komarṣal vaṅki,0.479,0.05979132652282715,0.01,Fail
நான் evalauvu அடிக்கடி password change seiya vendum?,Kaṭavuccol 45 nāṭkaḷukkup piṟaku kālāvatiyākiviṭum  eṉavē 45 nāṭkaḷ muṭivataṟkuḷ kaṭavuccollai māṟṟa vēṇṭum., CVV அல்லது கார்டு சரிபார்ப்பு மதிப்பு என்பது உங்கள் கிரெடிட் கார்டின் பின்புறத்தில் உள்ள மூன்று இலக்க எண்ணாகும்.,0.496,0.09557843208312988,0.12,Fail
Can I change my PIN?,You can change your PIN through any BOC ATM. We always advice you to do so.,You can change your PIN through any BOC ATM. We always advice you to do so.,0.9726,0.04173135757446289,1.0,Pass
எனது பின்னை மாற்ற முடியுமா?,ஆம். எந்த நேரத்திலும் எந்த HSBC ATM மூலமாகவும் உங்கள் பின்னை மாற்றலாம்., ஏதேனும் பரிவர்த்தனை செய்ய உங்களிடம் சான்றிதழ் தேவை. இதுபோன்ற சந்தர்ப்பங்களில்  பின்வரும் ஆவணங்களுடன் நகல் சான்றிதழை நீங்கள் கோரலாம். ஒரு நோட்டரி ஜேபி மூலம் சான்றளிக்கப்பட்ட வைப்புதாரரிடமிருந்து முறையாக பூர்த்தி செய்யப்பட்ட உறுதிமொழிக் கடிதம் (ஒரு உறுதிமொழிப் பத்திரத்தின் மாதிரியை நிறுவனத்திடமிருந்து பெறலாம்),0.9697,0.13505053520202637,0.04,Fail
enathu pinai maatra mudiuma?,Enta BOC ēṭi em mūlamākavum uṅkaḷ piṉṉai māṟṟalām. Avvāṟu ceyya nāṅkaḷ eppōtum uṅkaḷukku aṟivuṟuttukiṟōm., 1. Kaṇakkiṉ vakaiyait tērnteṭuttu kaṇakku eṇṇai uḷḷiṭavum. 2. Aṭaiyāḷa aṭṭaiyiṉ vakaiyait tērnteṭuttu aṭaiyāḷa aṭṭai eṇṇai uḷḷiṭavum. 3.Tiraiyil tōṉṟum vitimuṟaikaḷ maṟṟum nipantaṉaikaḷuṭaṉ uṭaṉpāṭu allatu uṭaṉpāṭu illāmai. 4.Tiraiyil tōṉṟum ḥpiṣiṅ paṭaṅkaḷil oṉṟait tērnteṭukkavum. Ataṉ piṟaku oru taṉippaṭṭa coṟṟoṭarai uḷḷiṭavum 5. Kaṭavuccollai uḷḷiṭṭu atē kaṭavuccollai mīṇṭum uḷḷiṭavum 6. Aṇukal aḷavait tērnteṭukkavum vicāraṇai muḻu eṉpatait tērnteṭukka vēṇṭum. 7. Oru muṟai kaṭavuccol (OTP) peṟappaṭum ūṭakamāka SMS allatu miṉṉañcalait tērnteṭukka vēṇṭum. 8. OTP kōrikkaiyaik kiḷik ceyyavum 9. Kaṇiṉiyil OTP eṉa tōṉṟum iṭattil SMS allatu miṉṉañcal mūlam peṟappaṭṭa OTP aic cerukavum maṟṟum toṭaravum eṉpataik kiḷik ceyyavum 10. Pativu veṟṟikaramāka uḷḷatā allatu tōlviyaṭaintatā eṉpatait terivikkum aṟivippaip peṟuvīrkaḷ.,0.4162,0.04894685745239258,0.02,Fail
enathu pinai மாற்ற முடியுமா?," ""You can change your PIN through any BOC ATM. We always advice you to do so.""", எழுத்துப்பூர்வ கோரிக்கையை எங்கள் கிளைகளிடம் ஒப்படைக்கலாம் அல்லது எங்களிடம் அனுப்பலாம் (P.O. Box 73 Colombo). தனிப்பட்ட இணைய வங்கி (தொடர்பு மையம்) அல்லது உங்கள் கிரெடிட் கார்டின் பின்புறத்தில் கொடுக்கப்பட்டுள்ள எண்ணை அழைப்பதன் மூலமும் நீங்கள் கோரிக்கையைச் சமர்ப்பிக்கலாம்.,0.6133,0.09942913055419922,0.03,Fail
Can I use my BOC Credit Card overseas?,Yes. You can use your BOC credit card at any payment point which accepts Visa and MasterCard as payment networks.,Yes. You can use your BOC credit card at any payment point which accepts Visa and MasterCard as payment networks.,0.9697,0.04842853546142578,1.0,Pass
எனது BOC கிரெடிட் கார்டை நான் வெளிநாடுகளில் பயன்படுத்தலாமா?,ஆம். உங்கள் BOC கிரெடிட் கார்டை விசா மற்றும் மாஸ்டர்கார்டுகளை பேமெண்ட் நெட்வொர்க்குகளாக ஏற்றுக்கொள்ளும் எந்தப் பேமெண்ட் புள்ளியிலும் நீங்கள் பயன்படுத்தலாம்., ஆம். உங்கள் BOC கிரெடிட் கார்டை விசா மற்றும் மாஸ்டர்கார்டுகளை பேமெண்ட் நெட்வொர்க்குகளாக ஏற்றுக்கொள்ளும் எந்தப் பேமெண்ட் புள்ளியிலும் நீங்கள் பயன்படுத்தலாம்.,1.0,0.21006226539611816,1.0,Pass
