Query,Expected Answer,Actual Answer,Query Match Score,Processed Time,Answer Matching Score,Results
How often I should change the password?,Password will expire after 45 days so you have to change the password before the end of the 45 days period.,Password will expire after 45 days so you have to change the password before the end of the 45 days period.,0.9527,0.049198150634765625,1.0,Pass
நான் எவ்வளவு அடிக்கடி கடவுச்சொல்லை மாற்ற வேண்டும்?," ""Password will expire after 45 days so you have to change the password before the end of the 45 days period.""", கடவுச்சொல் 45 நாட்களுக்குப் பிறகு காலாவதியாகிவிடும் எனவே 45 நாட்கள் முடிவதற்குள் கடவுச்சொல்லை மாற்ற வேண்டும்.,1.0,0.22583508491516113,0.13,Fail
Naan evalavu edikadi kadavusolai maatra vendum,Password will expire after 45 days so you have to change the password before the end of the 45 days period., 2. Contak kaṇakkukaḷ maṟṟum NTB kaṇakkukaḷukku iṭaiyilāṉa parivarttaṉaikaḷ uṭaṉaṭiyāka ceyyappaṭum 3. Maṟṟa vaṅkikaḷukku paṇam aṉuppappaṭum paṇam 3 nimiṭaṅkaḷil piṉvarum vaṅkikaḷ maṟṟum niti niṟuvaṉaṅkaḷiṉ paṭṭiyalil varavu vaikkappaṭum ilaṅkai makkaḷ vaṅki komarṣal vaṅki,0.479,0.06267619132995605,0.02,Fail
நான் evalauvu அடிக்கடி password change seiya vendum?,Password will expire after 45 days so you have to change the password before the end of the 45 days period., CVV அல்லது கார்டு சரிபார்ப்பு மதிப்பு என்பது உங்கள் கிரெடிட் கார்டின் பின்புறத்தில் உள்ள மூன்று இலக்க எண்ணாகும்.,0.496,0.09875988960266113,0.14,Fail
Can I change my PIN?,You can change your PIN through any BOC ATM. We always advice you to do so.,You can change your PIN through any BOC ATM. We always advice you to do so.,0.9726,0.04279732704162598,1.0,Pass
எனது பின்னை மாற்ற முடியுமா?,You can change your PIN through any BOC ATM. We always advice you to do so., ஏதேனும் பரிவர்த்தனை செய்ய உங்களிடம் சான்றிதழ் தேவை. இதுபோன்ற சந்தர்ப்பங்களில்  பின்வரும் ஆவணங்களுடன் நகல் சான்றிதழை நீங்கள் கோரலாம். ஒரு நோட்டரி ஜேபி மூலம் சான்றளிக்கப்பட்ட வைப்புதாரரிடமிருந்து முறையாக பூர்த்தி செய்யப்பட்ட உறுதிமொழிக் கடிதம் (ஒரு உறுதிமொழிப் பத்திரத்தின் மாதிரியை நிறுவனத்திடமிருந்து பெறலாம்),0.9697,0.15632176399230957,0.02,Fail
enathu pinai maatra mudiuma?,You can change your PIN through any BOC ATM. We always advice you to do so., 1. Kaṇakkiṉ vakaiyait tērnteṭuttu kaṇakku eṇṇai uḷḷiṭavum. 2. Aṭaiyāḷa aṭṭaiyiṉ vakaiyait tērnteṭuttu aṭaiyāḷa aṭṭai eṇṇai uḷḷiṭavum. 3.Tiraiyil tōṉṟum vitimuṟaikaḷ maṟṟum nipantaṉaikaḷuṭaṉ uṭaṉpāṭu allatu uṭaṉpāṭu illāmai. 4.Tiraiyil tōṉṟum ḥpiṣiṅ paṭaṅkaḷil oṉṟait tērnteṭukkavum. Ataṉ piṟaku oru taṉippaṭṭa coṟṟoṭarai uḷḷiṭavum 5. Kaṭavuccollai uḷḷiṭṭu atē kaṭavuccollai mīṇṭum uḷḷiṭavum 6. Aṇukal aḷavait tērnteṭukkavum vicāraṇai muḻu eṉpatait tērnteṭukka vēṇṭum. 7. Oru muṟai kaṭavuccol (OTP) peṟappaṭum ūṭakamāka SMS allatu miṉṉañcalait tērnteṭukka vēṇṭum. 8. OTP kōrikkaiyaik kiḷik ceyyavum 9. Kaṇiṉiyil OTP eṉa tōṉṟum iṭattil SMS allatu miṉṉañcal mūlam peṟappaṭṭa OTP aic cerukavum maṟṟum toṭaravum eṉpataik kiḷik ceyyavum 10. Pativu veṟṟikaramāka uḷḷatā allatu tōlviyaṭaintatā eṉpatait terivikkum aṟivippaip peṟuvīrkaḷ.,0.4162,0.05486607551574707,0.02,Fail
enathu pinai மாற்ற முடியுமா?," ""You can change your PIN through any BOC ATM. We always advice you to do so.""", எழுத்துப்பூர்வ கோரிக்கையை எங்கள் கிளைகளிடம் ஒப்படைக்கலாம் அல்லது எங்களிடம் அனுப்பலாம் (P.O. Box 73 Colombo). தனிப்பட்ட இணைய வங்கி (தொடர்பு மையம்) அல்லது உங்கள் கிரெடிட் கார்டின் பின்புறத்தில் கொடுக்கப்பட்டுள்ள எண்ணை அழைப்பதன் மூலமும் நீங்கள் கோரிக்கையைச் சமர்ப்பிக்கலாம்.,0.6133,0.10927581787109375,0.03,Fail
Can I use my BOC Credit Card overseas?,Yes. You can use your BOC credit card at any payment point which accepts Visa and MasterCard as payment networks.,Yes. You can use your BOC credit card at any payment point which accepts Visa and MasterCard as payment networks.,0.9697,0.04866623878479004,1.0,Pass
எனது BOC கிரெடிட் கார்டை நான் வெளிநாடுகளில் பயன்படுத்தலாமா?,Yes. You can use your BOC credit card at any payment point which accepts Visa and MasterCard as payment networks., ஆம். உங்கள் BOC கிரெடிட் கார்டை விசா மற்றும் மாஸ்டர்கார்டுகளை பேமெண்ட் நெட்வொர்க்குகளாக ஏற்றுக்கொள்ளும் எந்தப் பேமெண்ட் புள்ளியிலும் நீங்கள் பயன்படுத்தலாம்.,1.0,0.2315537929534912,0.15,Fail
